instance_idx,box_idx,onnx_file,vnnlib_file,ground_truth,method,verdict,q,coverage,epsilon_total,amls_bounded_eps_2_upper,flow_train_s,verify_s,wall_s,error,timestamp
0,0,tllBench_n=2_N=M=48_m=1_instance_5_3.onnx,property_N=48_3.vnnlib,sat,raw_mc_uniform,UNKNOWN,4.171624,0.9990,4.6318e-01,,54.4,0.0,54.4,,2026-05-06T21:34:42.087034+00:00
1,0,tllBench_n=2_N=M=24_m=1_instance_2_1.onnx,property_N=24_1.vnnlib,unsat,raw_mc_uniform,UNKNOWN,3.814565,1.0000,4.4445e-03,,49.7,0.0,49.7,,2026-05-06T21:35:55.435282+00:00
2,0,tllBench_n=2_N=M=56_m=1_instance_6_1.onnx,property_N=56_1.vnnlib,sat,raw_mc_uniform,UNKNOWN,3.235059,1.0000,9.2060e-01,,50.3,0.0,50.3,,2026-05-06T21:36:46.719521+00:00
3,0,tllBench_n=2_N=M=64_m=1_instance_7_2.onnx,property_N=64_2.vnnlib,sat,raw_mc_uniform,UNKNOWN,3.206184,0.9990,9.1335e-01,,51.1,0.0,51.2,,2026-05-06T21:37:39.410632+00:00
4,0,tllBench_n=2_N=M=56_m=1_instance_6_3.onnx,property_N=56_3.vnnlib,sat,raw_mc_uniform,UNKNOWN,3.359795,1.0000,1.1777e-01,,50.6,0.0,50.6,,2026-05-06T21:38:31.003348+00:00
5,0,tllBench_n=2_N=M=56_m=1_instance_6_2.onnx,property_N=56_2.vnnlib,sat,raw_mc_uniform,UNKNOWN,2.533130,0.9995,1.1449e-01,,51.4,0.0,51.4,,2026-05-06T21:39:23.430913+00:00
6,0,tllBench_n=2_N=M=48_m=1_instance_5_0.onnx,property_N=48_0.vnnlib,sat,raw_mc_uniform,UNKNOWN,3.529427,1.0000,1.0000e+00,,50.3,0.0,50.4,,2026-05-06T21:40:14.453381+00:00
7,0,tllBench_n=2_N=M=16_m=1_instance_1_2.onnx,property_N=16_2.vnnlib,unsat,raw_mc_uniform,UNKNOWN,3.292993,1.0000,4.4445e-03,,50.1,0.0,50.2,,2026-05-06T21:41:27.173314+00:00
8,0,tllBench_n=2_N=M=16_m=1_instance_1_1.onnx,property_N=16_1.vnnlib,sat,raw_mc_uniform,UNKNOWN,3.272948,0.9990,1.0000e+00,,49.8,0.0,49.8,,2026-05-06T21:42:17.276971+00:00
9,0,tllBench_n=2_N=M=32_m=1_instance_3_3.onnx,property_N=32_3.vnnlib,unsat,raw_mc_uniform,UNKNOWN,3.156425,0.9995,4.4445e-03,,49.9,0.0,49.9,,2026-05-06T21:43:30.833589+00:00
10,0,tllBench_n=2_N=M=56_m=1_instance_6_0.onnx,property_N=56_0.vnnlib,unsat,raw_mc_uniform,UNKNOWN,3.426798,1.0000,4.4445e-03,,50.5,0.0,50.5,,2026-05-06T21:44:45.927338+00:00
11,0,tllBench_n=2_N=M=24_m=1_instance_2_3.onnx,property_N=24_3.vnnlib,sat,raw_mc_uniform,UNKNOWN,3.005991,0.9990,7.9954e-01,,49.8,0.1,49.9,,2026-05-06T21:45:36.142601+00:00
12,0,tllBench_n=2_N=M=16_m=1_instance_1_3.onnx,property_N=16_3.vnnlib,unsat,raw_mc_uniform,UNKNOWN,3.721679,1.0000,4.4445e-03,,51.0,0.1,51.0,,2026-05-06T21:46:58.571799+00:00
13,0,tllBench_n=2_N=M=48_m=1_instance_5_1.onnx,property_N=48_1.vnnlib,sat,raw_mc_uniform,UNKNOWN,3.253208,0.9990,7.9098e-02,,50.3,0.0,50.3,,2026-05-06T21:47:49.640827+00:00
14,0,tllBench_n=2_N=M=16_m=1_instance_1_0.onnx,property_N=16_0.vnnlib,unsat,raw_mc_uniform,UNKNOWN,3.691376,1.0000,4.4445e-03,,49.8,0.0,49.8,,2026-05-06T21:48:54.146404+00:00
15,0,tllBench_n=2_N=M=64_m=1_instance_7_0.onnx,property_N=64_0.vnnlib,sat,raw_mc_uniform,UNKNOWN,2.700239,0.9990,7.4112e-01,,51.2,0.0,51.3,,2026-05-06T21:49:47.198790+00:00
16,0,tllBench_n=2_N=M=8_m=1_instance_0_3.onnx,property_N=8_3.vnnlib,sat,raw_mc_uniform,UNKNOWN,3.578501,1.0000,8.2749e-01,,49.8,0.0,49.8,,2026-05-06T21:50:37.266669+00:00
17,0,tllBench_n=2_N=M=8_m=1_instance_0_0.onnx,property_N=8_0.vnnlib,unsat,raw_mc_uniform,UNKNOWN,2.794081,1.0000,4.4445e-03,,49.7,0.0,49.7,,2026-05-06T21:51:50.304076+00:00
18,0,tllBench_n=2_N=M=64_m=1_instance_7_1.onnx,property_N=64_1.vnnlib,sat,raw_mc_uniform,UNKNOWN,3.645186,1.0000,5.0279e-01,,51.3,0.0,51.4,,2026-05-06T21:52:43.375148+00:00
19,0,tllBench_n=2_N=M=8_m=1_instance_0_1.onnx,property_N=8_1.vnnlib,unsat,raw_mc_uniform,UNKNOWN,3.899795,1.0000,4.4445e-03,,49.7,0.0,49.7,,2026-05-06T21:53:48.533594+00:00
20,0,tllBench_n=2_N=M=40_m=1_instance_4_3.onnx,property_N=40_3.vnnlib,sat,raw_mc_uniform,UNKNOWN,2.337855,1.0000,8.0429e-01,,50.0,0.0,50.1,,2026-05-06T21:54:39.062280+00:00
21,0,tllBench_n=2_N=M=64_m=1_instance_7_3.onnx,property_N=64_3.vnnlib,sat,raw_mc_uniform,UNKNOWN,3.223469,1.0000,3.4910e-01,,51.3,0.0,51.4,,2026-05-06T21:55:31.939667+00:00
22,0,tllBench_n=2_N=M=32_m=1_instance_3_0.onnx,property_N=32_0.vnnlib,unsat,raw_mc_uniform,UNKNOWN,4.389386,1.0000,4.4445e-03,,49.8,0.0,49.9,,2026-05-06T21:56:38.932348+00:00
23,0,tllBench_n=2_N=M=40_m=1_instance_4_0.onnx,property_N=40_0.vnnlib,unsat,raw_mc_uniform,UNKNOWN,3.168097,0.9990,4.4445e-03,,50.0,0.1,50.0,,2026-05-06T21:58:00.752204+00:00
24,0,tllBench_n=2_N=M=24_m=1_instance_2_0.onnx,property_N=24_0.vnnlib,unsat,raw_mc_uniform,UNKNOWN,3.541845,1.0000,4.4445e-03,,51.0,0.0,51.1,,2026-05-06T21:59:15.435515+00:00
25,0,tllBench_n=2_N=M=24_m=1_instance_2_2.onnx,property_N=24_2.vnnlib,sat,raw_mc_uniform,UNKNOWN,3.087737,1.0000,1.3012e-02,,49.8,0.1,49.9,,2026-05-06T22:00:05.638036+00:00
26,0,tllBench_n=2_N=M=40_m=1_instance_4_2.onnx,property_N=40_2.vnnlib,unsat,raw_mc_uniform,UNKNOWN,3.030940,0.9990,4.4445e-03,,51.1,0.1,51.2,,2026-05-06T22:01:19.571959+00:00
27,0,tllBench_n=2_N=M=32_m=1_instance_3_2.onnx,property_N=32_2.vnnlib,unsat,raw_mc_uniform,UNKNOWN,3.464925,1.0000,4.4445e-03,,50.9,0.0,50.9,,2026-05-06T22:02:23.527541+00:00
28,0,tllBench_n=2_N=M=40_m=1_instance_4_1.onnx,property_N=40_1.vnnlib,sat,raw_mc_uniform,UNKNOWN,3.689781,0.9995,4.8276e-01,,50.2,0.0,50.2,,2026-05-06T22:03:14.222875+00:00
29,0,tllBench_n=2_N=M=32_m=1_instance_3_1.onnx,property_N=32_1.vnnlib,sat,raw_mc_uniform,UNKNOWN,3.969637,0.9995,1.0000e+00,,49.9,0.0,49.9,,2026-05-06T22:04:04.504327+00:00
30,0,tllBench_n=2_N=M=8_m=1_instance_0_2.onnx,property_N=8_2.vnnlib,unsat,raw_mc_uniform,UNKNOWN,3.035492,1.0000,4.4445e-03,,49.8,0.0,49.9,,2026-05-06T22:05:17.627889+00:00
